id,tiller,expected
IR64-01,6,4
IR64-02,8,7
IR64-03,11,8
IR64-04,9,7
IR64-05,7,9
IR64-06,5,5
IR64-07,7,6
IR64-08,10,10
IR64-09,7,10
IR64-10,7,9
IR64-11,8,7
IR64-12,5,7
IR64-13,6,8
IR64-14,8,5
IR64-15,6,9
IR64-16,2,9
IR64-17,12,8
IR64-18,6,10
IR64-19,6,6
IR64-21,10,12
IR64-22,12,10
IR64-23,9,11
IR64-24,12,11
IR64-32,8,6
IR64-35,8,10
IR64-36,6,8
IR64-37,10,10
IR64-38,10,6
IR64-39,6,8
IR64-40,8,7
IR64-41,4,9
IR64-42,3,7
IR64-43,5,11
IR64-44,10,13
IR64-45,8,10
IR64-46,4,9
IR64-47,10,9
IR64-48,3,9
IR64-49,3,9
IR64-50,4,9
IR64-51,2,10
IR64-52,3,11
IR64-53,10,9
IR64-54,3,8
IR64-55,3,8
IR64-56,7,8
IR64-57,6,7
IR64-58,3,10
IR64-59,6,7
IR64-60,7,11
